system,run_id,enable_metacognition,final_performance,learning_rate,improvement,total_meta_emus,meta_emu_effectiveness,avg_utility,avg_fitness,recommendation_usage
SOMA_Full_Metacognitive,0,True,0.539341890098939,6.695436888379667e-05,0.10362296795880077,10,0.3439502223172085,0.5890834804107213,0.6754549373421596,0.45707317073170733
SOMA_Full_Metacognitive,1,True,0.5748424706105467,7.855871766790319e-05,0.12051822330266593,15,0.31944321377342794,0.5906426235760491,0.6762385852185566,0.4058536585365854
SOMA_Full_Metacognitive,2,True,0.5526074898423944,4.200508144346058e-05,0.06758526297483114,19,0.30073222516076864,0.5710357476323318,0.6549478064638925,0.375609756097561
SOMA_Full_Metacognitive,3,True,0.5803465327291688,7.946858755080103e-05,0.11455360910574575,13,0.5161236926267413,0.588167715051646,0.6767106818450305,0.408780487804878
SOMA_Full_Metacognitive,4,True,0.578175188671426,7.447806019215633e-05,0.10957043439271041,14,0.2734334568750153,0.5888265456782902,0.6765658546690794,0.4063414634146341
SOMA_Full_Metacognitive,5,True,0.559649120095218,4.795319264591473e-05,0.0749444110969113,11,0.32249988514945244,0.5712202710125192,0.6548532626933048,0.44146341463414634
SOMA_Full_Metacognitive,6,True,0.5774313213387967,5.8170762496846e-05,0.0908036783279964,11,0.4173252556719449,0.5817058061535775,0.6683567341254683,0.4424390243902439
SOMA_Full_Metacognitive,7,True,0.5540500474377611,7.444566297765483e-05,0.114633821922132,16,0.4311317772157309,0.5861909776623023,0.67237546733436,0.375609756097561
SOMA_Full_Metacognitive,8,True,0.5560986967630331,7.48370517312193e-05,0.11307321715960383,18,0.3231712494381187,0.5953712418252274,0.6824167229796331,0.4370731707317073
SOMA_Full_Metacognitive,9,True,0.58381961993282,6.0918177374187666e-05,0.09160670670770699,16,0.38974036431427517,0.5861816015568039,0.6730855588767525,0.39170731707317075
SOMA_Full_Metacognitive,10,True,0.5593939248018645,4.4025105017989055e-05,0.06788747522095306,9,0.4016380811472358,0.5758112116009697,0.6586443622372844,0.45170731707317074
SOMA_Full_Metacognitive,11,True,0.5461875855167975,6.420263518595398e-05,0.09262762050730866,9,0.3295035128976735,0.5929442086559767,0.6796231376918972,0.44390243902439025
